,id_str,text,created_hr,created_dotw,calltime,day,set,call,favorite_count,retweet_count,place_names,place_ids,sources,influence_score,in_reply_to_status_id_str,in_reply_to_user_id_str,lang,is_quote_status,retweeted,truncated,user_id_str,user_name,user_description,user_location,user_since,favorites_counts,followers_count,friends_count,listed_count,profile_background_color,profile_text_color,user_screen_name,statuses_count,verified,num_tags,num_media,num_symbols,num_urls,num_user_mentions
0,1094936570350747648,First day at my new job 😌,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,1.675,,,en,False,False,False,1063181800338546689,Rachel Lehman,,"Greencastle, PA",0,306,67,175,0,F5F8FA,333333,racheeelLehman,126,False,0,0,0,0,0
1,1094936596519026688,@AlexHolleyFOX29 Absolutely!,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,0.35000000000000003,1093950028073394176,164336339,en,False,False,False,857393006768517120,William Dierolf,,,1,3102,14,76,0,F5F8FA,333333,DierolfWilliam,1010,False,0,0,0,0,1
2,1094936629930852352,PM loses moral high ground? I think he lost that ages ago. https://t.co/doi3eoyl36,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,Canada,3376992a082d67c7,Twitter Web Client,3.975,,,en,False,False,False,1092892529865953280,HalifaxWestPPC,Official Twitter account for Halifax West EDA for the People's Party of Canada.,"Halifax, Nova Scotia",0,31,150,146,3,F5F8FA,333333,WestPpc,86,False,0,0,0,1,0
3,1094936651741229057,"Lawyers of the @TeamCavuto  Please Please Listen . The ""REAL"" Lawyer rating System is a ""POWERFUL INFORMAL SYSTEM""… https://t.co/KOlPeAZGHT",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter Web Client,1.675,,,en,False,False,True,2742044315,Dave Murphy,Old School,"Chestertown, MD",4,642,67,414,0,000000,000000,DuffGear,1240,False,0,0,0,1,1
4,1094936745190264832,@marklevinshow I AM A PROTECTED CLASS. NO ONE CAN TOUCH ME. I CAN SAY WHATEVER I WANT. I WILL USE YOUR CONSTITUTION… https://t.co/6HLI1YQYf7,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,2.625,1094931537014022144,38495835,en,False,False,True,898376451191431168,sergio antoni,,"Pennsylvania, USA",1,2434,105,160,0,F5F8FA,333333,SergioAntoni7,5849,False,0,0,0,1,1
6,1094936783475888128,Surprised the kids dont have a two hour delay. My road is completely covered. The rest must be perfectly clear I guess.,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,4.975,,,en,False,False,False,43989503,☠ Mad Skull ☠,"33 years old. An xbox Ambassador #MechWarrior , #seaofthieves #blackops4 , #GhostRecon , #stateofdecay2, #pubg, #fortnite . #ps4, #xbox #pcgaming","Jim Thorpe,Pa",9,22728,76,734,41,000000,000000,Mad_Skull,52575,False,0,0,0,0,0
7,1094936788823609344,I am more worried about Trump pulling out of Afghanistan than I am about people seeking asylum. WE ARE IN REAL DANG… https://t.co/1ZSog80TAP,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,48.85,,,en,True,False,True,1658660360,sara paswell,"retired, working to legalize marijuana across the U.S. dog lover, nature lover, cancer survivor, pharmaceutical drug survivor. Get Trump OUT OF OUR WHITE HOUSE!",wampum pa.,5,24864,1747,2494,69,C0DEED,333333,saramax1007,17869,False,0,0,0,1,0
8,1094936820209598464,@DennisMJordan @JuddApatow @realDonaldTrump @GOP U Unbelievable right!,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,0.325,1092487218898354176,527460489,en,False,False,False,248659916,SCB 12,,Langhorne Pa,8,4655,13,185,0,C0DEED,333333,scottc21,750,False,0,0,0,0,4
9,1094936826870185984,This will be an interesting one to follow.,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,3.325,,,en,True,False,False,825106133564137474,Shelly Fetchen DiCesaro,"💑 to an amazing man, 👩‍👦 to an AVgeek ✈️, AT for CalU women's 🏀, AT Prof, peds sports med researcher📚, youth sports safety advocate 🏊🏽 & 🐶 lover","Pittsburgh, PA",2,2708,127,211,2,000000,000000,sfdicesaro,778,False,0,0,0,0,0
10,1094936840434524160,@AEisbaer Happy burpday bear butt,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,17.625,1094840048804077568,2705278064,en,False,False,False,19211879,Zero ♠️👽🎂💜,Ace | Gainer | Gamer | Furry | Tokusatsu Knowledge Base | Weeb | Foodie | Graphic Designer | Icon/Banner by @rotundfox,"Pottstown, PA",10,47050,657,160,16,000000,000000,thefatdrake,54685,False,0,0,0,0,1
13,1094936913860063237,"Positive Affirmation of the Day
Today I love and am loved through and through.",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,25.1,,,en,False,False,False,7403962,Steve Uhlenbrock 🏆 😊,Trying to make the world a better place by coaching & teaching people how to live a happier and more meaningful life.,"East Coast, USA",11,4684,959,2325,15,050505,E7F70A,CoachSteve,4103,False,0,0,0,0,0
14,1094936979861655552,"@Forbes Yes, even after it was Acquired",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter Web Client,1.675,1094936589149618176,91478624,en,False,False,False,2742044315,Dave Murphy,Old School,"Chestertown, MD",4,642,67,413,0,000000,000000,DuffGear,1241,False,0,0,0,0,1
15,1094936991312080896,IMBECILE,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,48.85,,,en,True,False,False,1658660360,sara paswell,"retired, working to legalize marijuana across the U.S. dog lover, nature lover, cancer survivor, pharmaceutical drug survivor. Get Trump OUT OF OUR WHITE HOUSE!",wampum pa.,5,24867,1747,2494,69,C0DEED,333333,saramax1007,17871,False,0,0,0,0,0
17,1094937029673136129,@johnb78 Except for the journalist dismembering thing,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,12.75,1094846093215465472,19659468,en,False,False,False,1173158444,Pete Cunningham,"husband, father, weightlifter, and cook,TPI Level 3 Fitness, Level 3 Golf Instruction",,6,38079,471,501,13,C0DEED,333333,verylucky_guy,11551,False,0,0,0,0,1
18,1094937051160563712,@SandaBlue Maybe ten or more of my nature Twitter friends use that camera. They all take some beautiful pictures. I… https://t.co/3lBEPnfDLS,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094935494339616768,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188063,2562,3393,83,C0DEED,333333,JamesIsaak2,216043,False,0,0,0,1,1
19,1094937062778785793,@MarrelRedwin And a dragon overlooking everything as his next meal is almost ready &gt;:3 *pats your massive belly*,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,17.625,1094936641511280640,937885471933390849,en,False,False,False,19211879,Zero ♠️👽🎂💜,Ace | Gainer | Gamer | Furry | Tokusatsu Knowledge Base | Weeb | Foodie | Graphic Designer | Icon/Banner by @rotundfox,"Pottstown, PA",10,47051,657,160,16,000000,000000,thefatdrake,54686,False,0,0,0,0,1
20,1094937106407936001,When God appears in our lives it is not for judgement but rather mercy,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,24.525000000000002,,,en,False,False,False,54539326,Samuel Davis,"I AM because He is ☦
Pastor-St Simon of Cyrene Orthodox Mission","NYC, NJ",9,10733,918,1192,21,9AE4E8,333333,samuelmark25,16741,False,0,0,0,0,0
21,1094937166256340992,"Enjoy your monday on the slopes or in the park.
JF 9-4
BBP 3-9 @ big boulder PARK https://t.co/skFlnTtwDe",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Instagram,128.85,,,en,False,False,False,91120199,Jack Frost Mountain,Offering challenging skiing and snowboarding areas in the heart of the Poconos. Easy access from Philly + NYC. Follow @bigboulderPARK for additional news!,"Blakeslee, PA",9,90,4878,961,92,022330,333333,skiJFBB,2754,False,0,0,0,1,0
22,1094937171763609600,@SandaBlue Lazy fucks,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094936196994613249,2422702611,en,False,False,False,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188065,2562,3393,83,C0DEED,333333,JamesIsaak2,216044,False,0,0,0,0,1
23,1094937200884625408,@GrittyNHL @NHLFlyers @WingstonNLL @Eagles @FUNWITHmeLVin @TempleUniv @WillDCatVU @PhilaUnionPhang @ReadingRoyals… https://t.co/0UmPIiWNTu,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPad,4.575,1094650171709943816,1038096516727099393,en,False,False,True,245159675,ATG,Eagles fan... and a bunch of other wonderful traits that will remain part of my secret identity.,"Pennsylvania, USA",8,14401,174,407,3,000000,000000,ATG_Iggles,4562,False,0,0,0,1,9
24,1094937302625910784,@SandaBlue Definitely! Love those greens!,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094936698360803329,2422702611,en,False,False,False,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188067,2562,3393,83,C0DEED,333333,JamesIsaak2,216045,False,0,0,0,0,1
26,1094937347718823938,I can’t name one Valentine’s Day that I’ve enjoyed &amp; all it takes is a few L’s. I’m rlly a simple person.,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,15.700000000000001,,,en,False,False,False,90724538,ℓσgαи,lil hippy,"New York, USA",9,8714,619,666,3,37E8D9,333333,Logannicholeeee,20654,False,0,0,0,0,0
27,1094937365150347265,"Act of Kindness of the Day
Open your heart to someone. To love someone and allow them to love you is a powerful act of kindness in deed.",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,25.1,,,en,False,False,False,7403962,Steve Uhlenbrock 🏆 😊,Trying to make the world a better place by coaching & teaching people how to live a happier and more meaningful life.,"East Coast, USA",11,4684,959,2325,15,050505,E7F70A,CoachSteve,4104,False,0,0,0,0,0
28,1094937373060808705,And it’s official.  School closed for Monday.  Make sure to check itslearning and here soon for snow day plans!!! https://t.co/X0XpooNRwe,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,8.125,,,en,False,False,False,2557269182,Mr. Godack,"High school math teacher, department chairperson, AP Calculus reader, runner, bird watcher, Lego fan",Gettysburg Area High School,4,1124,316,257,3,C0DEED,333333,MrGodack,3177,False,0,1,0,0,0
