,id_str,text,created_hr,created_dotw,calltime,day,set,call,favorite_count,retweet_count,place_names,place_ids,sources,influence_score,in_reply_to_status_id_str,in_reply_to_user_id_str,lang,is_quote_status,retweeted,truncated,user_id_str,user_name,user_description,user_location,user_since,favorites_counts,followers_count,friends_count,listed_count,profile_background_color,profile_text_color,user_screen_name,statuses_count,verified,num_tags,num_media,num_symbols,num_urls,num_user_mentions
12,1094936894213890048,https://t.co/Zcc1qy2yWZ,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for Android,20.25,,,und,False,False,False,95149882,Heidi Crissman,"Warrior 4 causes, ALS caregiver, animal rescuer, film buff, meditation  junkie, Anglophile, novice drummer, rock chick, concert fanatic, lover/fighter/confidant","Erie, Pa, USA",9,7019,753,2354,19,000000,000000,wynterdawn_07,13278,False,0,0,0,1,0
18,1094937051160563712,@SandaBlue Maybe ten or more of my nature Twitter friends use that camera. They all take some beautiful pictures. I… https://t.co/3lBEPnfDLS,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094935494339616768,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188063,2562,3393,83,C0DEED,333333,JamesIsaak2,216043,False,0,0,0,1,1
22,1094937171763609600,@SandaBlue Lazy fucks,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094936196994613249,2422702611,en,False,False,False,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188065,2562,3393,83,C0DEED,333333,JamesIsaak2,216044,False,0,0,0,0,1
24,1094937302625910784,@SandaBlue Definitely! Love those greens!,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094936698360803329,2422702611,en,False,False,False,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188067,2562,3393,83,C0DEED,333333,JamesIsaak2,216045,False,0,0,0,0,1
42,1094938290036330496,@SandaBlue And one of the things we were all talking about is how we all started relatively late in life and how it… https://t.co/omcdwpZqEX,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094937931045720065,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188069,2562,3393,83,C0DEED,333333,JamesIsaak2,216046,False,0,0,0,1,1
61,1094939702728237056,So are public libraries thats also socialist,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for Android,15.975,,,en,True,False,False,36881789,James Davis,I am A psychic/Medium and practicing witch. I do not support organized religion of any kind.,"Erie, PA",9,30338,450,322,63,022330,333333,babylon151,135947,False,0,0,0,0,0
64,1094939769241587714,@SandaBlue Several of us were talking about how it would’ve been great to have started when we are much younger but… https://t.co/1GnzFrlTZh,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094937931045720065,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188069,2562,3393,83,C0DEED,333333,JamesIsaak2,216047,False,0,0,0,1,1
66,1094939786899611649,I’m over school,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,7.4750000000000005,,,en,False,False,False,3381882167,Morgan Moran,EUP’20 • snap: morganjamiee,"Erie, PA",3,2047,299,255,0,C0DEED,333333,morgannjamiee,5108,False,0,0,0,0,0
98,1094941151931613184,"@SandaBlue No. I took a chance and bought it online for one of the cheaper prices by itself. My thinking was, with… https://t.co/cnM33kv1q2",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094940648237543424,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188071,2562,3393,83,C0DEED,333333,JamesIsaak2,216048,False,0,0,0,1,1
132,1094942351523377153,"🚺dont🚹own🚹rights🚺
🇨🇦🇨🇺🇬🇱🇯🇲🇯🇵🇲🇰🇵🇷🇸🇬🇸🇩🇺🇸🇹🇷🇻🇺🇿🇦🇮🇹
True lip meaning serious 
Since a seed b
Ah compound of rucks,
Might… https://t.co/CoZVQpYYMh",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Instagram,7.375,,,en,False,False,True,732684438933524481,_keemkeem_,,United States,2,592,259,139,12,F5F8FA,333333,ibekeemin,18190,False,0,0,0,1,0
