,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
6253,12,3,0,0,694.725,6,26664,375,0,0,0,0,1,4,0,0,1,3
4061,18,6,0,0,694.45,6,26647,377,0,0,0,1,1,3,0,0,1,2
2758,14,4,18,0,685.575,10,25077,710,0,0,0,0,0,3,1,0,0,2
20915,7,1,41,0,636.875,0,24896,29,0,0,0,0,2,4,0,0,1,7
19501,16,5,0,0,574.5500000000001,8,22892,30,0,0,0,0,1,4,0,0,1,6
25567,9,2,151,3,573.425,7,20951,34,0,0,0,0,0,4,0,1,0,1
2557,14,4,1,0,546.15,10,21702,44,0,0,0,1,1,2,0,0,1,2
3162,16,5,0,0,545.875,10,21703,44,0,0,0,0,1,1,0,0,1,2
14936,14,4,5,4,539.025,5,21240,55,0,0,0,1,8,4,0,1,1,5
23780,18,6,0,0,536.6750000000001,5,21302,55,0,0,0,0,1,1,0,0,1,7
19474,16,5,1,0,536.35,5,21277,55,0,0,0,0,3,4,0,0,1,6
19777,18,6,4,2,536.25,5,21270,28,0,0,0,1,0,1,0,1,0,6
13602,9,2,2,1,536.1750000000001,5,21234,55,0,0,0,0,1,4,0,1,1,5
19508,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,3,4,0,0,1,6
19556,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,3,4,0,0,1,6
19563,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,1,4,0,0,1,6
14218,12,3,2,0,535.625,5,21236,55,0,0,0,0,3,4,0,0,1,5
12118,18,6,2,0,535.45,5,21229,55,0,0,0,1,8,3,0,0,1,4
14906,14,4,1,0,535.425,5,21240,55,0,0,0,1,7,4,0,0,1,5
14162,12,3,0,0,535.025,5,21236,55,0,0,0,0,1,4,0,0,1,5
20210,18,6,1,0,534.15,5,21270,28,0,0,0,0,3,4,0,0,1,6
19668,18,6,0,0,533.875,5,21271,28,0,0,0,0,1,0,0,0,1,6
1277,9,2,1,0,486.75,9,17370,696,3,0,0,1,1,3,0,0,0,2
21923,12,3,0,0,479.0,10,18530,210,0,0,0,1,0,2,0,0,0,7
628,7,1,81,22,444.675,9,15129,386,1,1,0,0,1,4,0,1,0,2
68,7,1,0,0,439.52500000000003,8,16747,278,1,0,0,0,1,0,0,0,1,2
4479,7,1,1,0,424.62500000000006,5,16301,224,0,0,0,1,1,1,0,0,1,3
4511,7,1,1,0,424.62500000000006,5,16301,224,0,0,0,0,1,1,0,0,0,3
4542,7,1,0,0,424.32500000000005,5,16301,224,1,0,0,1,0,1,0,0,0,3
16879,7,1,9,1,420.17500000000007,8,16201,158,0,0,0,0,7,4,0,1,1,6
4920,7,1,1,0,416.00000000000006,8,16154,158,0,0,0,0,3,4,0,0,1,3
27447,16,5,8,0,401.3,7,15854,34,0,1,0,0,0,4,0,0,0,1
7776,18,6,3,1,400.475,7,15857,34,0,0,0,1,0,1,0,1,0,3
9233,9,2,3,1,400.37500000000006,7,15853,34,0,0,0,1,0,2,0,1,1,4
9394,9,2,5,0,400.37500000000006,7,15853,34,0,0,0,1,0,3,0,0,1,4
27223,16,5,2,0,399.50000000000006,7,15854,34,0,0,0,0,0,2,0,0,0,1
27337,16,5,2,0,399.50000000000006,7,15854,34,0,0,0,0,1,3,0,0,1,1
26102,12,3,2,0,395.7750000000001,10,15453,118,0,0,0,0,4,3,0,0,1,1
23962,18,6,0,0,393.6,9,15570,58,0,0,0,0,1,2,0,0,1,7
26510,14,4,0,0,393.55000000000007,9,15568,58,0,0,0,0,0,1,0,0,0,1
16503,7,1,2,3,375.825,7,14907,10,0,0,0,1,0,1,0,1,0,6
16826,7,1,2,1,374.7,7,14910,10,0,0,0,1,0,4,0,1,0,6
7520,16,5,0,1,374.00000000000006,7,14906,10,0,0,0,1,0,4,0,1,0,3
15643,18,6,0,0,373.975,10,14017,314,1,0,0,1,0,0,0,0,0,5
16193,18,6,0,0,373.975,10,14017,314,0,0,0,1,0,4,0,0,0,5
5872,12,3,1,0,373.675,7,14905,10,0,0,0,1,0,1,0,0,0,3
11444,16,5,0,0,373.625,7,14915,10,0,0,0,1,0,3,0,0,0,4
26121,12,3,0,0,373.57500000000005,7,14913,10,0,0,0,1,0,4,0,0,0,1
7456,16,5,0,0,373.40000000000003,7,14906,10,0,0,0,1,0,3,0,0,0,3
25492,9,2,7,2,370.80000000000007,9,13626,358,0,0,0,1,0,4,0,1,0,1
3499,16,5,2,0,370.1,7,14564,72,0,0,0,0,2,4,0,0,1,2
15348,16,5,2,0,367.27500000000003,9,11964,901,0,0,0,1,0,3,0,0,0,5
6834,14,4,20,6,359.20000000000005,10,13792,64,0,0,0,2,2,4,0,1,0,3
4228,18,6,21,2,356.65000000000003,10,13774,64,0,0,0,0,0,4,0,1,0,2
26848,14,4,5,4,352.6,6,13846,34,0,0,0,0,0,4,0,1,0,1
22227,12,3,12,4,350.95,2,13777,7,0,1,0,0,0,4,0,1,0,7
3601,16,5,2,0,349.75000000000006,10,13774,64,0,0,0,0,1,4,0,0,0,2
8269,18,6,2,1,349.70000000000005,6,13838,34,0,0,0,0,0,4,0,1,0,3
26641,14,4,0,1,349.32500000000005,6,13847,34,0,0,0,0,0,2,0,1,0,1
7917,18,6,0,1,349.1000000000001,6,13838,34,0,0,0,0,0,2,0,1,0,3
23553,16,5,1,0,348.92500000000007,6,13843,34,0,0,0,0,0,4,0,0,0,7
5155,9,2,0,1,348.9000000000001,6,13833,33,0,0,0,0,0,1,0,1,0,3
17487,9,2,0,0,348.725,6,13847,34,0,0,0,0,0,4,0,0,0,6
9436,9,2,0,0,348.65000000000003,6,13844,34,0,0,0,0,0,3,0,0,0,4
22306,14,4,0,0,348.65000000000003,6,13844,34,0,0,0,0,0,0,0,0,0,7
8172,18,6,0,0,348.50000000000006,6,13838,34,0,0,0,0,0,4,0,0,0,3
20898,7,1,84,18,342.20000000000005,4,12236,4,0,0,0,0,0,4,0,1,0,7
7537,16,5,0,0,335.725,8,11920,503,0,0,0,0,2,4,0,0,1,3
641,7,1,218,54,334.67499999999995,10,8485,330,0,0,0,1,2,4,1,1,0,2
13512,9,2,11,4,319.34999999999997,7,12225,107,0,1,0,0,0,4,0,1,0,5
24678,7,1,6,2,315.90000000000003,2,12468,16,0,0,0,1,1,3,0,1,1,1
25521,9,2,6,1,315.3,2,12468,16,0,0,0,1,0,4,0,1,0,1
18828,14,4,8,0,315.25,2,12466,16,0,0,0,0,3,4,0,0,1,6
4470,7,1,7,1,315.125,2,12449,16,0,0,0,1,1,1,0,1,1,3
19485,16,5,3,1,315.075,9,11832,237,2,0,0,1,0,4,0,1,1,6
11517,16,5,3,2,314.82500000000005,2,12461,16,0,0,0,0,1,4,0,1,1,4
9815,12,3,5,1,314.75000000000006,2,12458,16,0,0,0,0,1,1,0,1,1,4
16798,7,1,1,2,314.40000000000003,2,12468,16,0,0,0,0,2,3,0,1,1,6
18856,14,4,5,0,314.35,2,12466,16,0,0,0,1,1,4,0,0,1,6
15186,16,5,3,1,314.3,2,12464,16,0,0,0,1,1,1,0,1,1,5
27714,18,6,2,1,314.15,2,12470,16,0,0,0,1,4,1,0,1,1,1
17837,12,3,4,0,314.1,2,12468,16,0,0,0,0,1,1,0,0,1,6
16778,7,1,3,0,313.8,2,12468,16,0,0,0,0,3,3,0,0,1,6
6628,14,4,2,1,313.725,2,12453,16,0,0,0,1,0,2,0,1,0,3
13938,12,3,3,0,313.72499999999997,2,12465,16,0,0,0,1,3,2,0,0,1,5
15467,16,5,3,0,313.7,2,12464,16,0,0,0,0,1,3,0,0,1,5
26722,14,4,0,0,313.59999999999997,9,11833,237,0,0,0,1,2,3,0,0,1,1
22184,12,3,0,0,313.575,11,11352,397,1,0,0,1,0,4,0,0,0,7
16883,7,1,1,0,313.4,11,11333,397,0,0,0,1,3,4,0,0,1,6
4881,7,1,1,1,313.375,2,12451,16,0,0,0,0,2,4,0,1,1,3
23442,16,5,1,0,313.27500000000003,2,12471,16,0,0,0,0,1,3,0,0,1,7
17291,9,2,1,0,313.20000000000005,2,12468,16,0,0,0,0,1,2,0,0,1,6
16742,7,1,1,0,313.20000000000005,2,12468,16,0,0,0,0,2,3,0,0,1,6
11487,16,5,1,0,313.02500000000003,2,12461,16,0,0,0,1,2,4,0,0,1,4
3152,16,5,2,0,313.00000000000006,2,12448,16,0,0,0,1,2,1,0,0,1,2
18389,14,4,0,0,312.90000000000003,2,12468,16,0,0,0,0,1,0,0,0,1,6
24668,7,1,0,0,312.90000000000003,2,12468,16,0,0,0,1,4,3,0,0,1,1
25265,9,2,0,0,312.90000000000003,2,12468,16,0,0,0,0,2,2,0,0,1,1
18287,14,4,0,0,312.90000000000003,2,12468,16,0,0,0,1,2,0,0,0,1,6
17232,9,2,0,0,312.90000000000003,2,12468,16,0,0,0,0,2,2,0,0,1,6
6052,12,3,1,0,312.82500000000005,2,12453,16,0,0,0,1,2,3,0,0,1,3
3524,16,5,1,0,312.75,2,12450,16,0,0,0,0,2,4,0,0,1,2
11594,16,5,0,0,312.725,2,12461,16,0,0,0,1,1,4,0,0,1,4
9646,12,3,0,0,312.65000000000003,2,12458,16,0,0,0,1,1,0,0,0,1,4
6156,12,3,0,0,312.52500000000003,2,12453,16,0,0,0,0,1,3,0,0,1,3
6610,14,4,0,0,312.52500000000003,2,12453,16,0,0,0,1,1,2,0,0,1,3
3498,16,5,0,0,312.45,2,12450,16,0,1,0,0,2,4,0,0,1,2
6905,14,4,4,5,303.075,8,10725,410,0,0,0,1,0,4,1,1,0,3
5163,9,2,0,0,294.90000000000003,9,11544,84,0,0,0,0,1,1,0,0,1,3
23494,16,5,3,1,290.82500000000005,8,11456,39,0,0,0,1,1,4,0,1,0,7
3507,16,5,11,2,279.85,3,10735,93,0,0,0,1,8,4,0,1,1,2
20202,18,6,124,8,278.9,8,9278,66,0,0,0,1,0,4,0,1,0,6
20250,18,6,139,34,270.82500000000005,2,8220,43,1,0,0,1,0,4,0,1,0,6
4195,18,6,2,1,270.35,10,9677,363,1,0,0,1,0,4,0,1,1,2
11100,16,5,3,3,270.09999999999997,9,10660,12,0,0,0,1,1,1,0,1,0,4
4162,18,6,0,0,269.15000000000003,10,9677,363,0,0,0,1,0,3,0,0,1,2
22878,14,4,95,3,268.725,5,9432,35,0,1,0,0,0,4,0,1,0,7
18804,14,4,1,1,268.375,9,10660,13,0,0,0,0,1,4,0,1,1,6
27052,16,5,1,0,268.12500000000006,9,10674,13,0,0,0,1,2,1,0,0,1,1
27150,16,5,1,0,268.12500000000006,9,10674,13,0,0,0,1,2,1,0,0,1,1
