,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
18216,12,3,61,7,3947.0000000000005,9,154154,942,0,0,0,1,0,4,0,1,0,6
19577,16,5,45,5,3940.875,9,154152,941,0,1,0,0,0,4,0,1,0,6
18192,12,3,1,0,3033.4500000000003,9,118893,811,0,0,0,0,1,4,1,0,1,6
18211,12,3,1,0,3033.4500000000003,9,118893,811,0,0,0,0,1,4,1,0,1,6
18207,12,3,1,0,3033.4500000000003,9,118893,811,0,0,0,0,1,4,1,0,1,6
18226,12,3,1,0,3033.4500000000003,9,118893,811,0,0,0,0,1,4,1,0,1,6
18224,12,3,0,0,3033.15,9,118893,811,0,0,0,0,1,4,1,0,1,6
18205,12,3,0,0,3033.15,9,118893,811,0,0,0,0,1,4,1,0,1,6
18208,12,3,0,0,3033.15,9,118893,811,0,0,0,0,1,4,1,0,1,6
18209,12,3,0,0,3033.15,9,118893,811,0,0,0,0,1,4,1,0,1,6
5653,12,3,0,0,2179.275,9,84441,910,0,0,0,1,0,0,0,0,0,3
17035,9,2,0,0,2178.275,9,84404,909,1,0,0,0,1,0,0,0,1,6
15890,18,6,9,3,1632.525,9,58125,2332,0,0,0,0,0,2,0,1,1,5
11567,16,5,7,2,1630.975,9,58120,2329,0,0,0,1,0,4,0,1,0,4
15882,18,6,0,0,1628.025,9,58125,2332,0,0,0,0,1,2,0,0,1,5
21824,12,3,0,0,1570.3500000000001,2,62613,67,0,0,0,0,1,1,0,0,1,7
19557,16,5,0,1,1417.275,11,51786,1627,0,0,0,1,0,4,0,1,0,6
24741,7,1,0,0,1416.8750000000002,11,51794,1627,3,0,0,1,0,3,0,0,0,1
24688,7,1,0,0,1416.8750000000002,11,51794,1627,7,0,0,1,0,3,0,0,0,1
17614,12,3,0,0,1416.725,11,51785,1628,2,0,0,1,0,0,0,0,0,6
12938,7,1,1,0,1288.1000000000001,2,51407,35,0,0,0,0,1,4,0,0,1,5
12181,18,6,6,0,1285.95,2,51261,35,0,0,0,0,1,4,0,0,1,4
11514,16,5,1,0,1283.9750000000001,2,51242,35,0,0,0,0,1,4,0,0,1,4
10877,14,4,0,0,1283.4,2,51231,35,0,0,0,0,2,4,0,0,1,4
652,7,1,1,0,1272.25,2,50770,36,0,0,0,1,9,4,0,0,1,2
9543,9,2,0,0,1250.325,9,44718,1765,0,0,0,0,1,4,1,0,1,4
13766,12,3,1,0,1185.0,9,45219,723,1,1,0,0,1,1,0,0,0,5
13668,12,3,0,0,1184.7749999999999,9,45222,723,0,0,0,0,0,0,0,0,0,5
28104,18,6,6,1,1103.8000000000002,10,42988,356,0,1,0,1,0,3,1,1,0,1
27199,16,5,3,0,1102.3000000000002,10,42988,356,0,0,0,0,0,2,1,0,0,1
27296,16,5,1,0,1101.7,10,42988,356,0,0,0,0,0,2,1,0,0,1
27550,16,5,1,0,1101.7,10,42988,356,0,0,0,0,1,4,1,0,0,1
18901,14,4,469,71,1086.575,2,35711,140,1,0,0,0,0,4,1,1,0,6
14928,14,4,94,13,1023.825,1,38949,188,0,1,0,0,0,4,0,1,0,5
10192,12,3,294,11,996.425,2,35645,140,0,0,0,1,0,4,1,1,0,4
14536,14,4,1,0,988.125,1,38949,188,0,0,0,0,1,1,0,0,1,5
2654,14,4,1,1,982.9,1,38713,189,0,0,0,0,1,3,0,1,1,2
2729,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2641,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2738,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2655,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2657,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2670,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2672,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2681,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2659,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2744,14,4,1,0,982.3,1,38713,189,0,0,0,0,1,3,0,0,1,2
2677,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2663,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2648,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2683,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2712,14,4,0,0,982.0,1,38713,189,0,0,0,1,1,3,0,0,1,2
2719,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2676,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2717,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
2665,14,4,0,0,982.0,1,38713,189,0,0,0,0,1,3,0,0,1,2
7553,16,5,155,26,962.325,2,35589,140,1,0,0,1,1,4,1,1,0,3
25766,12,3,1,0,918.0,10,33786,974,0,0,0,0,3,1,1,0,1,1
8842,7,1,1,0,912.6500000000001,3,35366,376,0,1,0,0,1,4,1,0,1,4
7560,16,5,4,0,912.1750000000002,3,35311,376,0,0,0,0,2,4,1,0,1,3
10246,12,3,9,0,904.325,2,35645,140,0,0,0,0,1,4,1,0,1,4
16146,18,6,3,2,900.9250000000001,3,35479,158,0,0,0,1,0,4,0,1,0,5
2781,14,4,6,0,900.925,2,35545,140,0,0,0,0,1,4,1,0,1,2
2830,14,4,5,0,900.625,2,35545,140,0,0,0,0,1,4,1,0,1,2
7584,16,5,0,0,900.225,2,35589,140,0,1,0,0,3,4,1,0,1,3
6944,14,4,0,0,900.125,2,35585,140,0,0,0,1,1,4,1,0,1,3
2833,14,4,1,0,899.425,2,35545,140,0,0,0,0,1,4,1,0,1,2
7673,18,6,0,0,886.35,9,34989,155,3,0,0,1,0,0,0,0,0,3
22207,12,3,10,8,834.9,6,32592,164,0,1,0,0,0,4,0,1,0,7
6253,12,3,0,0,694.725,6,26664,375,0,0,0,0,1,4,0,0,1,3
4061,18,6,0,0,694.45,6,26647,377,0,0,0,1,1,3,0,0,1,2
2758,14,4,18,0,685.575,10,25077,710,0,0,0,0,0,3,1,0,0,2
20915,7,1,41,0,636.875,0,24896,29,0,0,0,0,2,4,0,0,1,7
19501,16,5,0,0,574.5500000000001,8,22892,30,0,0,0,0,1,4,0,0,1,6
25567,9,2,151,3,573.425,7,20951,34,0,0,0,0,0,4,0,1,0,1
2700,14,4,1,0,546.15,10,21702,44,0,0,0,1,1,3,0,0,1,2
3162,16,5,0,0,545.875,10,21703,44,0,0,0,0,1,1,0,0,1,2
14936,14,4,5,4,539.025,5,21240,55,0,0,0,1,8,4,0,1,1,5
23780,18,6,0,0,536.6750000000001,5,21302,55,0,0,0,0,1,1,0,0,1,7
19474,16,5,1,0,536.35,5,21277,55,0,0,0,0,3,4,0,0,1,6
19777,18,6,4,2,536.25,5,21270,28,0,0,0,1,0,1,0,1,0,6
13602,9,2,2,1,536.1750000000001,5,21234,55,0,0,0,0,1,4,0,1,1,5
19508,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,3,4,0,0,1,6
19556,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,3,4,0,0,1,6
19563,16,5,0,0,536.0500000000001,5,21277,55,0,0,0,0,1,4,0,0,1,6
14218,12,3,2,0,535.625,5,21236,55,0,0,0,0,3,4,0,0,1,5
12118,18,6,2,0,535.45,5,21229,55,0,0,0,1,8,3,0,0,1,4
14906,14,4,1,0,535.425,5,21240,55,0,0,0,1,7,4,0,0,1,5
14162,12,3,0,0,535.025,5,21236,55,0,0,0,0,1,4,0,0,1,5
19811,18,6,1,0,534.15,5,21270,28,0,0,0,0,3,1,0,0,1,6
19668,18,6,0,0,533.875,5,21271,28,0,0,0,0,1,0,0,0,1,6
1277,9,2,1,0,486.75,9,17370,696,3,0,0,1,1,3,0,0,0,2
21923,12,3,0,0,479.0,10,18530,210,0,0,0,1,0,2,0,0,0,7
628,7,1,81,22,444.675,9,15129,386,1,1,0,0,1,4,0,1,0,2
509,7,1,0,0,439.52500000000003,8,16744,279,1,0,0,0,1,3,0,0,1,2
4479,7,1,1,0,424.62500000000006,5,16301,224,0,0,0,1,1,1,0,0,1,3
4511,7,1,1,0,424.62500000000006,5,16301,224,0,0,0,0,1,1,0,0,0,3
4542,7,1,0,0,424.32500000000005,5,16301,224,1,0,0,1,0,1,0,0,0,3
16879,7,1,9,1,420.17500000000007,8,16201,158,0,0,0,0,7,4,0,1,1,6
4920,7,1,1,0,416.00000000000006,8,16154,158,0,0,0,0,3,4,0,0,1,3
27447,16,5,8,0,401.3,7,15854,34,0,1,0,0,0,4,0,0,0,1
8175,18,6,3,1,400.475,7,15857,34,0,0,0,1,0,4,0,1,0,3
9261,9,2,5,0,400.37500000000006,7,15853,34,0,0,0,1,0,2,0,0,1,4
9366,9,2,3,1,400.37500000000006,7,15853,34,0,0,0,1,0,3,0,1,1,4
27356,16,5,2,0,399.50000000000006,7,15854,34,0,0,0,0,0,3,0,0,0,1
27469,16,5,2,0,399.50000000000006,7,15854,34,0,0,0,0,1,4,0,0,1,1
26102,12,3,2,0,395.7750000000001,10,15453,118,0,0,0,0,4,3,0,0,1,1
23962,18,6,0,0,393.6,9,15570,58,0,0,0,0,1,2,0,0,1,7
26510,14,4,0,0,393.55000000000007,9,15568,58,0,0,0,0,0,1,0,0,0,1
16503,7,1,2,3,375.825,7,14907,10,0,0,0,1,0,1,0,1,0,6
16826,7,1,2,1,374.7,7,14910,10,0,0,0,1,0,4,0,1,0,6
7387,16,5,0,1,374.00000000000006,7,14906,10,0,0,0,1,0,3,0,1,0,3
16173,18,6,0,0,373.975,10,14017,314,1,0,0,1,0,4,0,0,0,5
15794,18,6,0,0,373.975,10,14017,314,0,0,0,1,0,1,0,0,0,5
6005,12,3,1,0,373.675,7,14905,10,0,0,0,1,0,2,0,0,0,3
11444,16,5,0,0,373.625,7,14915,10,0,0,0,1,0,3,0,0,0,4
26121,12,3,0,0,373.57500000000005,7,14913,10,0,0,0,1,0,4,0,0,0,1
7059,16,5,0,0,373.40000000000003,7,14906,10,0,0,0,0,0,0,0,0,0,3
25492,9,2,7,2,370.80000000000007,9,13626,358,0,0,0,1,0,4,0,1,0,1
3499,16,5,2,0,370.1,7,14564,72,0,0,0,0,2,4,0,0,1,2
15348,16,5,2,0,367.27500000000003,9,11964,901,0,0,0,1,0,3,0,0,0,5
6834,14,4,20,6,359.20000000000005,10,13792,64,0,0,0,2,2,4,0,1,0,3
4228,18,6,21,2,356.65000000000003,10,13774,64,0,0,0,0,0,4,0,1,0,2
26848,14,4,5,4,352.6,6,13846,34,0,0,0,0,0,4,0,1,0,1
22227,12,3,12,4,350.95,2,13777,7,0,1,0,0,0,4,0,1,0,7
3601,16,5,2,0,349.75000000000006,10,13774,64,0,0,0,0,1,4,0,0,0,2
