,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
3232,16,5,1,0,2177.3750000000005,9,84356,909,1,0,0,1,0,2,0,0,0,2
4198,18,6,0,0,2177.0750000000003,9,84356,909,0,0,0,1,0,4,0,0,0,2
228,7,1,43,2,1643.6,9,58181,2333,0,0,0,1,0,1,0,1,0,2
801,9,2,0,0,1567.65,2,62505,67,0,0,0,0,2,0,0,0,1,2
76,7,1,0,0,1416.8250000000003,11,51792,1627,0,0,0,1,0,0,0,0,0,2
7297,16,5,2,0,1296.175,2,51718,35,0,0,0,0,2,1,0,0,1,3
4183,18,6,2,2,1295.8500000000001,2,51657,35,0,0,0,1,8,4,0,1,1,2
5940,12,3,108,5,942.6500000000001,2,35867,141,0,0,0,0,0,1,1,1,0,3
3724,18,6,2,2,908.0250000000001,2,35826,141,0,0,0,0,4,1,1,1,1,2
1864,12,3,0,0,786.3000000000001,9,29994,486,1,0,0,1,1,2,1,0,0,2
7691,16,5,4,43,768.85,9,29497,59,0,0,0,1,0,4,1,1,0,3
4020,18,6,1,0,696.325,6,26713,376,0,0,0,0,1,3,0,0,1,2
2043,12,3,0,0,688.725,10,26883,222,3,0,0,2,0,4,0,0,0,2
664,7,1,114,32,623.1999999999999,7,21955,279,0,0,0,1,0,4,0,1,0,2
7619,16,5,0,0,569.9,9,20570,742,1,0,0,1,2,3,0,0,0,3
5584,9,2,6,1,554.0500000000001,9,20638,476,0,0,0,1,0,4,0,1,0,3
3212,16,5,3,0,553.925,4,21785,112,0,0,0,1,1,2,0,0,1,2
4758,7,1,2,1,540.7250000000001,5,21413,56,0,0,0,1,9,3,0,1,1,3
157,7,1,3,0,538.1500000000001,5,21322,56,0,0,0,1,8,1,0,0,1,2
6245,12,3,9,2,531.9250000000001,8,20503,206,1,1,0,0,2,4,0,1,0,3
7281,16,5,4,2,521.8,6,20227,183,0,0,0,0,0,1,0,1,0,3
4662,7,1,33,0,428.45,8,16256,162,0,0,0,1,0,2,0,0,0,3
3496,16,5,0,0,424.925,3,16991,2,0,0,0,1,0,4,0,0,0,2
2844,14,4,0,0,424.8,3,16986,2,0,0,0,1,2,4,0,0,1,2
2767,14,4,0,0,424.8,3,16986,2,0,0,0,1,3,4,0,0,1,2
2569,14,4,0,0,424.6,3,16978,2,0,0,0,0,2,2,0,0,1,2
7048,14,4,0,0,373.07500000000005,7,14893,10,0,0,0,1,0,4,0,0,0,3
5962,12,3,7,1,315.325,2,12457,16,0,0,0,1,2,2,0,1,1,3
6254,12,3,3,1,314.125,2,12457,16,0,0,0,1,0,4,0,1,0,3
1720,12,3,4,0,313.925,2,12461,16,0,0,0,0,3,1,0,0,1,2
4770,7,1,4,0,313.8,2,12456,16,0,0,0,1,2,3,0,0,1,3
1062,9,2,2,0,313.32500000000005,2,12461,16,0,0,0,1,1,2,0,0,1,2
2769,14,4,2,0,313.27500000000003,2,12459,16,0,0,0,0,3,4,0,0,1,2
2714,14,4,2,0,313.27500000000003,2,12459,16,1,0,0,1,2,3,0,0,1,2
2455,14,4,1,0,313.0,2,12460,16,0,0,0,1,1,2,0,0,1,2
4518,7,1,1,0,312.925,2,12457,16,0,0,0,0,3,1,0,0,1,3
4825,7,1,1,0,312.90000000000003,2,12456,16,0,0,0,0,1,3,0,0,1,3
5929,12,3,0,0,312.675,2,12456,17,0,0,0,0,1,1,0,0,1,3
4374,7,1,0,0,312.625,2,12457,16,0,0,0,1,2,0,0,0,1,3
4217,18,6,0,1,276.30000000000007,3,11019,3,0,0,0,1,8,4,0,1,1,2
4014,18,6,1,0,275.62500000000006,3,11004,3,0,0,0,0,1,3,0,0,1,2
3708,18,6,0,0,271.425,3,10848,3,0,0,0,0,2,0,0,0,1,2
3493,16,5,2,0,268.52500000000003,9,10678,13,0,0,0,1,3,4,0,0,1,2
3334,16,5,0,0,267.87500000000006,9,10676,13,0,0,0,1,4,3,0,0,1,2
2872,16,5,0,0,267.725,9,10670,13,0,0,0,1,1,0,0,0,1,2
6718,14,4,6,2,252.37500000000003,8,8898,359,0,0,0,1,3,2,0,1,0,3
4714,7,1,1,2,250.8,8,8895,359,1,0,0,1,1,3,0,1,0,3
4471,7,1,0,0,249.25000000000003,8,8893,359,1,0,0,0,4,1,0,0,1,3
8137,18,6,24,3,246.6,8,9306,66,0,0,0,1,0,2,0,1,0,3
7722,16,5,0,0,240.35,9,8450,388,0,0,0,1,2,4,0,0,1,3
2850,14,4,0,0,217.325,9,4850,1281,4,0,0,2,0,4,0,0,0,2
7238,16,5,2,0,214.175,4,7394,383,0,0,0,1,8,1,0,0,1,3
2636,14,4,0,0,199.85000000000002,9,7994,0,0,0,0,0,1,3,0,0,1,2
3914,18,6,4,0,183.225,9,6993,96,0,0,0,1,0,2,0,0,0,2
7496,16,5,6,3,175.22500000000002,9,6559,102,0,1,0,0,2,3,0,1,0,3
5146,9,2,3,0,172.45000000000002,9,6556,102,1,0,0,1,0,1,0,0,0,3
6277,12,3,2,0,170.79999999999998,8,6310,166,0,0,0,1,0,4,0,0,0,3
6332,12,3,0,0,170.2,8,6310,166,0,0,0,1,4,4,0,0,1,3
927,9,2,1,1,160.07500000000002,3,6358,3,0,0,0,1,1,1,0,1,1,2
1683,12,3,1,0,159.62500000000003,3,6364,3,0,0,0,1,2,1,0,0,1,2
891,9,2,1,0,159.47500000000002,3,6358,3,0,0,0,1,2,1,0,0,1,2
1239,9,2,0,0,159.275,3,6362,3,0,0,0,1,0,3,0,0,0,2
1508,12,3,0,0,159.225,3,6360,3,0,0,0,0,0,0,0,0,0,2
796,9,2,0,0,158.95000000000002,3,6349,3,0,0,0,0,0,0,0,0,0,2
1513,12,3,0,0,157.20000000000002,9,5862,142,0,0,0,0,0,0,1,0,0,2
